benchmark	our_p	dcs_p	our_t	dcs_t
rand-9-10-100-5.110.sdimacs	1.000000e+00	1	0.00	0.0226278
rand-9-10-100-5.111.sdimacs	1.000000e+00	1	0.00	0.00321603
rand-9-10-100-5.112.sdimacs	1.000000e+00	1	0.00	0.000951052
rand-9-10-100-5.113.sdimacs	1.000000e+00	1	0.00	0.000838995
rand-9-10-100-5.114.sdimacs	1.000000e+00	1	0.00	0.000939846
rand-9-10-110-5.115.sdimacs	1.000000e+00	1	0.00	0.00108194
rand-9-10-110-5.116.sdimacs	1.000000e+00	1	0.00	0.00189018
rand-9-10-110-5.117.sdimacs	1.000000e+00	1	0.00	0.00178313
rand-9-10-110-5.118.sdimacs	1.000000e+00	1	0.00	0.00166488
rand-9-10-110-5.119.sdimacs	1.000000e+00	1	0.00	0.00112486
rand-9-10-80-5.100.sdimacs	1.000000e+00	1	0.00	0.00735307
rand-9-10-80-5.101.sdimacs	1.000000e+00	1	0.00	0.000793934
rand-9-10-80-5.102.sdimacs	1.000000e+00	1	0.00	0.00826907
rand-9-10-80-5.103.sdimacs	1.000000e+00	1	0.00	0.00297499
rand-9-10-80-5.104.sdimacs	1.000000e+00	1	0.00	0.00078702
rand-9-10-90-5.105.sdimacs	1.000000e+00	1	0.00	0.00412703
rand-9-10-90-5.106.sdimacs	1.000000e+00	1	0.00	0.00814795
rand-9-10-90-5.107.sdimacs	1.000000e+00	1	0.00	0.0029459
rand-9-10-90-5.108.sdimacs	1.000000e+00	1	0.00	0.00319815
rand-9-10-90-5.109.sdimacs	1.000000e+00	1	0.00	0.0068922
rand-9-20-160-10.120.sdimacs	1.000000e+00	1	0.00	0.035074
rand-9-20-160-10.121.sdimacs	1.000000e+00	1	0.00	0.017607
rand-9-20-160-10.122.sdimacs	1.000000e+00	1	0.00	0.021543
rand-9-20-160-10.123.sdimacs	1.000000e+00	1	0.00	0.0206671
rand-9-20-160-10.124.sdimacs	1.000000e+00	1	0.00	0.0281968
rand-9-20-180-10.125.sdimacs	1.000000e+00	1	0.00	0.0491471
rand-9-20-180-10.126.sdimacs	1.000000e+00	1	0.00	0.0268409
rand-9-20-180-10.127.sdimacs	1.000000e+00	1	0.00	0.0292912
rand-9-20-180-10.128.sdimacs	1.000000e+00	1	0.00	0.0229111
rand-9-20-180-10.129.sdimacs	1.000000e+00	1	0.00	0.0257111
rand-9-20-200-10.130.sdimacs	1.000000e+00	1	0.00	0.0398359
rand-9-20-200-10.131.sdimacs	1.000000e+00	1	0.00	0.0342882
rand-9-20-200-10.132.sdimacs	1.000000e+00	1	0.00	0.0380001
rand-9-20-200-10.133.sdimacs	1.000000e+00	1	0.00	0.0328159
rand-9-20-200-10.134.sdimacs	1.000000e+00	1	0.00	0.0384872
rand-9-20-220-10.135.sdimacs	1.000000e+00	1	0.00	0.052923
rand-9-20-220-10.136.sdimacs	1.000000e+00	1	0.00	0.0402229
rand-9-20-220-10.137.sdimacs	1.000000e+00	1	0.00	0.0531931
rand-9-20-220-10.138.sdimacs	1.000000e+00	1	0.00	0.039772
rand-9-20-220-10.139.sdimacs	1.000000e+00	1	0.00	0.0599971
rand-9-30-240-15.140.sdimacs	1.000000e+00	1	0.01	0.993008
rand-9-30-240-15.141.sdimacs	1.000000e+00	1	0.01	1.2332
rand-9-30-240-15.142.sdimacs	1.000000e+00	1	0.01	0.681579
rand-9-30-240-15.143.sdimacs	1.000000e+00	1	0.01	1.12045
rand-9-30-240-15.144.sdimacs	1.000000e+00	1	0.01	1.62115
rand-9-30-270-15.145.sdimacs	1.000000e+00	1	0.01	1.50485
rand-9-30-270-15.146.sdimacs	9.980469e-01	0.998047	0.02	1.59251
rand-9-30-270-15.147.sdimacs	1.000000e+00	1	0.02	1.63824
rand-9-30-270-15.148.sdimacs	1.000000e+00	1	0.02	1.36792
rand-9-30-270-15.149.sdimacs	1.000000e+00	1	0.01	1.68212
rand-9-30-300-15.150.sdimacs	1.000000e+00	1	0.02	2.9419
rand-9-30-300-15.151.sdimacs	1.000000e+00	1	0.02	2.66481
rand-9-30-300-15.152.sdimacs	1.000000e+00	1	0.01	2.67601
rand-9-30-300-15.153.sdimacs	1.000000e+00	1	0.02	2.77163
rand-9-30-300-15.154.sdimacs	1.000000e+00	1	0.01	2.31026
rand-9-30-330-15.155.sdimacs	1.000000e+00	1	0.01	4.85191
rand-9-30-330-15.156.sdimacs	1.000000e+00	1	0.01	4.36171
rand-9-30-330-15.157.sdimacs	1.000000e+00	1	0.02	3.89651
rand-9-30-330-15.158.sdimacs	1.000000e+00	1	0.02	6.34713
rand-9-30-330-15.159.sdimacs	1.000000e+00	1	0.03	3.00017
rand-9-40-320-20.160.sdimacs	9.980469e-01	0.998047	0.04	82.5678
rand-9-40-320-20.161.sdimacs	1.000000e+00	1	0.05	75.4474
rand-9-40-320-20.162.sdimacs	1.000000e+00	1	0.07	54.9826
rand-9-40-320-20.163.sdimacs	9.980469e-01	0.998047	0.12	41.9081
rand-9-40-320-20.164.sdimacs	1.000000e+00	1	0.08	70.8779
rand-9-40-360-20.165.sdimacs	1.000000e+00	1	0.12	115.564
rand-9-40-360-20.166.sdimacs	1.000000e+00	1	0.12	153.23
rand-9-40-360-20.167.sdimacs	1.000000e+00	1	0.08	286.49
rand-9-40-360-20.168.sdimacs	9.980469e-01	0.998047	0.11	80.2458
rand-9-40-360-20.169.sdimacs	1.000000e+00	1	0.08	117.965
rand-9-40-400-20.170.sdimacs	1.000000e+00	1	0.18	227.346
rand-9-40-400-20.171.sdimacs	1.000000e+00	1	0.13	191.272
rand-9-40-400-20.172.sdimacs	1.000000e+00	1	0.13	212.083
rand-9-40-400-20.173.sdimacs	1.000000e+00	1	0.19	255.59
rand-9-40-400-20.174.sdimacs	1.000000e+00	1	0.19	249.589
rand-9-40-440-20.175.sdimacs	9.980469e-01	0.998047	0.19	433.135
rand-9-40-440-20.176.sdimacs	1.000000e+00	1	0.17	356.91
rand-9-40-440-20.177.sdimacs	1.000000e+00	1	0.13	321.449
rand-9-40-440-20.178.sdimacs	1.000000e+00	1	0.20	337.737
rand-9-40-440-20.179.sdimacs	1.000000e+00	1	0.19	407.85
rand-9-50-400-25.180.sdimacs	1.000000e+00		0.44	,
rand-9-50-400-25.181.sdimacs	1.000000e+00		0.46	,
rand-9-50-400-25.182.sdimacs	1.000000e+00		0.67	,
rand-9-50-400-25.183.sdimacs	1.000000e+00		0.47	,
rand-9-50-400-25.184.sdimacs	1.000000e+00		0.30	,
rand-9-50-450-25.185.sdimacs	9.980469e-01		0.85	,
rand-9-50-450-25.186.sdimacs	9.960938e-01		0.72	,
rand-9-50-450-25.187.sdimacs	1.000000e+00		0.60	,
rand-9-50-450-25.188.sdimacs	1.000000e+00		0.93	,
rand-9-50-450-25.189.sdimacs	9.999695e-01		0.78	,
rand-9-50-500-25.190.sdimacs	1.000000e+00		1.61	,
rand-9-50-500-25.191.sdimacs	1.000000e+00		0.77	,
rand-9-50-500-25.192.sdimacs	1.000000e+00		0.99	,
rand-9-50-500-25.193.sdimacs	9.980469e-01		2.37	,
rand-9-50-500-25.194.sdimacs	9.980469e-01		1.29	,
rand-9-50-550-25.195.sdimacs	1.000000e+00		3.06	,
rand-9-50-550-25.196.sdimacs	9.980469e-01		1.81	,
rand-9-50-550-25.197.sdimacs	1.000000e+00		2.23	,
rand-9-50-550-25.198.sdimacs	1.000000e+00		4.37	,
rand-9-50-550-25.199.sdimacs	1.000000e+00		2.04	,
